#version: AntiShare
#This file is used for mapping common names to Material enum entries
#item,material name
stone,STONE
sstone,STONE
smoothstone,STONE
rock,STONE
grass,GRASS
greendirt,GRASS
greenearth,GRASS
greenland,GRASS
dirt,DIRT
earth,DIRT
land,DIRT
grasslessdirt,DIRT
grasslessearth,DIRT
grasslessland,DIRT
podzol,DIRT
cobblestone,COBBLESTONE
cstone,COBBLESTONE
cobble,COBBLESTONE
wood,WOOD
plank,WOOD
woodenplank,WOOD
woodplank,WOOD
wplank,WOOD
plankwooden,WOOD
plankwood,WOOD
plankw,WOOD
oakplank,WOOD
oakwoodenplank,WOOD
oakwoodplank,WOOD
oakwplank,WOOD
oakplankwooden,WOOD
oakplankwood,WOOD
oakplankw,WOOD
oplank,WOOD
owoodenplank,WOOD
owoodplank,WOOD
owplank,WOOD
oplankwooden,WOOD
oplankwood,WOOD
oplankw,WOOD
pineplank,WOOD
pinewoodenplank,WOOD
pinewoodplank,WOOD
pinewplank,WOOD
pineplankwooden,WOOD
pineplankwood,WOOD
pineplankw,WOOD
pplank,WOOD
pwoodenplank,WOOD
pwoodplank,WOOD
pwplank,WOOD
pplankwooden,WOOD
pplankwood,WOOD
pplankw,WOOD
darkplank,WOOD
darkwoodenplank,WOOD
darkwoodplank,WOOD
darkwplank,WOOD
darkplankwooden,WOOD
darkplankwood,WOOD
darkplankw,WOOD
dplank,WOOD
dwoodenplank,WOOD
dwoodplank,WOOD
dwplank,WOOD
dplankwooden,WOOD
dplankwood,WOOD
dplankw,WOOD
spruceplank,WOOD
sprucewoodenplank,WOOD
sprucewoodplank,WOOD
sprucewplank,WOOD
spruceplankwooden,WOOD
spruceplankwood,WOOD
spruceplankw,WOOD
splank,WOOD
swoodenplank,WOOD
swoodplank,WOOD
swplank,WOOD
splankwooden,WOOD
splankwood,WOOD
splankw,WOOD
birchplank,WOOD
birchwoodenplank,WOOD
birchwoodplank,WOOD
birchwplank,WOOD
birchplankwooden,WOOD
birchplankwood,WOOD
birchplankw,WOOD
bplank,WOOD
bwoodenplank,WOOD
bwoodplank,WOOD
bwplank,WOOD
bplankwooden,WOOD
bplankwood,WOOD
bplankw,WOOD
lightplank,WOOD
lightwoodenplank,WOOD
lightwoodplank,WOOD
lightwplank,WOOD
lightplankwooden,WOOD
lightplankwood,WOOD
lightplankw,WOOD
lplank,WOOD
lwoodenplank,WOOD
lwoodplank,WOOD
lwplank,WOOD
lplankwooden,WOOD
lplankwood,WOOD
lplankw,WOOD
whiteplank,WOOD
whitewoodenplank,WOOD
whitewoodplank,WOOD
whitewplank,WOOD
whiteplankwooden,WOOD
whiteplankwood,WOOD
whiteplankw,WOOD
wwoodenplank,WOOD
wwoodplank,WOOD
wwplank,WOOD
wplankwooden,WOOD
wplankwood,WOOD
wplankw,WOOD
jungleplank,WOOD
junglewoodenplank,WOOD
junglewoodplank,WOOD
junglewplank,WOOD
jungleplankwooden,WOOD
jungleplankwood,WOOD
jungleplankw,WOOD
jplank,WOOD
jwoodenplank,WOOD
jwoodplank,WOOD
jwplank,WOOD
jplankwooden,WOOD
jplankwood,WOOD
jplankw,WOOD
forestplank,WOOD
forestwoodenplank,WOOD
forestwoodplank,WOOD
forestwplank,WOOD
forestplankwooden,WOOD
forestplankwood,WOOD
forestplankw,WOOD
fplank,WOOD
fwoodenplank,WOOD
fwoodplank,WOOD
fwplank,WOOD
fplankwooden,WOOD
fplankwood,WOOD
fplankw,WOOD
acaciaplank,WOOD
acaciawoodenplank,WOOD
acaciawoodplank,WOOD
acaciawplank,WOOD
acaciaplankwooden,WOOD
acaciaplankwood,WOOD
acaciaplankw,WOOD
aplank,WOOD
awoodenplank,WOOD
awoodplank,WOOD
awplank,WOOD
aplankwooden,WOOD
aplankwood,WOOD
aplankw,WOOD
darkoakplank,WOOD
darkoakwoodenplank,WOOD
darkoakwoodplank,WOOD
darkoakwplank,WOOD
darkoakplankwooden,WOOD
darkoakplankwood,WOOD
darkoakplankw,WOOD
doakplank,WOOD
doakwoodenplank,WOOD
doakwoodplank,WOOD
doakwplank,WOOD
doakplankwooden,WOOD
doakplankwood,WOOD
doakplankw,WOOD
doplank,WOOD
dowoodenplank,WOOD
dowoodplank,WOOD
dowplank,WOOD
doplankwooden,WOOD
doplankwood,WOOD
doplankw,WOOD
sapling,SAPLING
treesapling,SAPLING
logsapling,SAPLING
trunksapling,SAPLING
woodsapling,SAPLING
oaktreesapling,SAPLING
oaklogsapling,SAPLING
oaktrunksapling,SAPLING
oakwoodsapling,SAPLING
osapling,SAPLING
otreesapling,SAPLING
ologsapling,SAPLING
otrunksapling,SAPLING
owoodsapling,SAPLING
darksapling,SAPLING
darktreesapling,SAPLING
darklogsapling,SAPLING
darktrunksapling,SAPLING
darkwoodsapling,SAPLING
sprucesapling,SAPLING
sprucetreesapling,SAPLING
sprucelogsapling,SAPLING
sprucetrunksapling,SAPLING
sprucewoodsapling,SAPLING
pinesapling,SAPLING
pinetreesapling,SAPLING
pinelogsapling,SAPLING
pinetrunksapling,SAPLING
pinewoodsapling,SAPLING
dsapling,SAPLING
dtreesapling,SAPLING
dlogsapling,SAPLING
dtrunksapling,SAPLING
dwoodsapling,SAPLING
ssapling,SAPLING
streesapling,SAPLING
slogsapling,SAPLING
strunksapling,SAPLING
swoodsapling,SAPLING
psapling,SAPLING
ptreesapling,SAPLING
plogsapling,SAPLING
ptrunksapling,SAPLING
pwoodsapling,SAPLING
birchsapling,SAPLING
birchtreesapling,SAPLING
birchlogsapling,SAPLING
birchtrunksapling,SAPLING
birchwoodsapling,SAPLING
lightsapling,SAPLING
lighttreesapling,SAPLING
lightlogsapling,SAPLING
lighttrunksapling,SAPLING
lightwoodsapling,SAPLING
whitesapling,SAPLING
whitetreesapling,SAPLING
whitelogsapling,SAPLING
whitetrunksapling,SAPLING
whitewoodsapling,SAPLING
bsapling,SAPLING
btreesapling,SAPLING
blogsapling,SAPLING
btrunksapling,SAPLING
bwoodsapling,SAPLING
lsapling,SAPLING
ltreesapling,SAPLING
llogsapling,SAPLING
ltrunksapling,SAPLING
lwoodsapling,SAPLING
wsapling,SAPLING
wtreesapling,SAPLING
wlogsapling,SAPLING
wtrunksapling,SAPLING
wwoodsapling,SAPLING
junglesapling,SAPLING
jungletreesapling,SAPLING
junglelogsapling,SAPLING
jungletrunksapling,SAPLING
junglewoodsapling,SAPLING
forestsapling,SAPLING
foresttreesapling,SAPLING
forestlogsapling,SAPLING
foresttrunksapling,SAPLING
forestwoodsapling,SAPLING
jsapling,SAPLING
jtreesapling,SAPLING
jlogsapling,SAPLING
jtrunksapling,SAPLING
jwoodsapling,SAPLING
fsapling,SAPLING
ftreesapling,SAPLING
flogsapling,SAPLING
ftrunksapling,SAPLING
fwoodsapling,SAPLING
acaciasapling,SAPLING
acaciatreesapling,SAPLING
acacialogsapling,SAPLING
acaciatrunksapling,SAPLING
acaciawoodsapling,SAPLING
asapling,SAPLING
atreesapling,SAPLING
alogsapling,SAPLING
atrunksapling,SAPLING
awoodsapling,SAPLING
darkoaksapling,SAPLING
darkoaktreesapling,SAPLING
darkoaklogsapling,SAPLING
darkoaktrunksapling,SAPLING
darkoakwoodsapling,SAPLING
doaksapling,SAPLING
doaktreesapling,SAPLING
doaklogsapling,SAPLING
doaktrunksapling,SAPLING
dosapling,SAPLING
dowoodsapling,SAPLING
dotreesapling,SAPLING
dologsapling,SAPLING
dotrunksapling,SAPLING
bedrock,BEDROCK
oprock,BEDROCK
opblock,BEDROCK
adminblock,BEDROCK
adminrock,BEDROCK
adminium,BEDROCK
water,WATER
stationarywater,STATIONARY_WATER
stillwater,STATIONARY_WATER
swater,STATIONARY_WATER
lava,LAVA
stationarylava,STATIONARY_LAVA
stilllava,STATIONARY_LAVA
slava,STATIONARY_LAVA
sand,SAND
redsand,SAND
rsand,SAND
gravel,GRAVEL
goldore,GOLD_ORE
oregold,GOLD_ORE
gore,GOLD_ORE
oreg,GOLD_ORE
ogold,GOLD_ORE
goldo,GOLD_ORE
ironore,IRON_ORE
oreiron,IRON_ORE
irono,IRON_ORE
oiron,IRON_ORE
steelore,IRON_ORE
oresteel,IRON_ORE
steelo,IRON_ORE
osteel,IRON_ORE
iore,IRON_ORE
orei,IRON_ORE
sore,IRON_ORE
ores,IRON_ORE
coalore,COAL_ORE
orecoal,COAL_ORE
coalo,COAL_ORE
ocoal,COAL_ORE
core,COAL_ORE
tree,LOG
log,LOG
trunk,LOG
oak,LOG
oaktree,LOG
oaklog,LOG
oaktrunk,LOG
oakwood,LOG
otree,LOG
olog,LOG
otrunk,LOG
owood,LOG
pine,LOG
pinetree,LOG
pinelog,LOG
pinetrunk,LOG
pinewood,LOG
darktree,LOG
darklog,LOG
darktrunk,LOG
darkwood,LOG
spruce,LOG
sprucetree,LOG
sprucelog,LOG
sprucetrunk,LOG
sprucewood,LOG
dtree,LOG
dlog,LOG
dtrunk,LOG
dwood,LOG
stree,LOG
slog,LOG
strunk,LOG
swood,LOG
ptree,LOG
plog,LOG
ptrunk,LOG
pwood,LOG
birch,LOG
birchtree,LOG
birchlog,LOG
birchtrunk,LOG
birchwood,LOG
whitetree,LOG
whitelog,LOG
whitetrunk,LOG
whitewood,LOG
lighttree,LOG
lightlog,LOG
lighttrunk,LOG
lightwood,LOG
btree,LOG
blog,LOG
btrunk,LOG
bwood,LOG
wtree,LOG
wlog,LOG
wtrunk,LOG
wwood,LOG
ltree,LOG
llog,LOG
ltrunk,LOG
lwood,LOG
jungletree,LOG
junglelog,LOG
jungletrunk,LOG
junglewood,LOG
jungle,LOG
forest,LOG
foresttree,LOG
forestlog,LOG
foresttrunk,LOG
forestwood,LOG
jtree,LOG
jlog,LOG
jtrunk,LOG
jwood,LOG
ftree,LOG
flog,LOG
ftrunk,LOG
fwood,LOG
leaves,LEAVES
leaf,LEAVES
treeleaves,LEAVES
logleaves,LEAVES
trunkleaves,LEAVES
woodleaves,LEAVES
oakleaves,LEAVES
oakleaf,LEAVES
oleaves,LEAVES
oleaf,LEAVES
oaktreeleaves,LEAVES
oaklogleaves,LEAVES
oaktrunkleaves,LEAVES
oakwoodleaves,LEAVES
otreeleaves,LEAVES
ologleaves,LEAVES
otrunkleaves,LEAVES
owoodleaves,LEAVES
treeleaf,LEAVES
logleaf,LEAVES
trunkleaf,LEAVES
woodleaf,LEAVES
oaktreeleaf,LEAVES
oaklogleaf,LEAVES
oaktrunkleaf,LEAVES
oakwoodleaf,LEAVES
otreeleaf,LEAVES
ologleaf,LEAVES
otrunkleaf,LEAVES
owoodleaf,LEAVES
pineleaves,LEAVES
pineleaf,LEAVES
pleaves,LEAVES
pleaf,LEAVES
pinetreeleaves,LEAVES
pinelogleaves,LEAVES
pinetrunkleaves,LEAVES
pinewoodleaves,LEAVES
ptreeleaves,LEAVES
plogleaves,LEAVES
ptrunkleaves,LEAVES
pwoodleaves,LEAVES
spruceleaves,LEAVES
spruceleaf,LEAVES
sleaves,LEAVES
sleaf,LEAVES
sprucetreeleaves,LEAVES
sprucelogleaves,LEAVES
sprucetrunkleaves,LEAVES
sprucewoodleaves,LEAVES
streeleaves,LEAVES
slogleaves,LEAVES
strunkleaves,LEAVES
swoodleaves,LEAVES
darkleaves,LEAVES
darkleaf,LEAVES
dleaves,LEAVES
dleaf,LEAVES
darktreeleaves,LEAVES
darklogleaves,LEAVES
darktrunkleaves,LEAVES
darkwoodleaves,LEAVES
dtreeleaves,LEAVES
dlogleaves,LEAVES
dtrunkleaves,LEAVES
dwoodleaves,LEAVES
sprucetreeleaf,LEAVES
sprucelogleaf,LEAVES
sprucetrunkleaf,LEAVES
sprucewoodleaf,LEAVES
streeleaf,LEAVES
slogleaf,LEAVES
strunkleaf,LEAVES
swoodleaf,LEAVES
pinetreeleaf,LEAVES
pinelogleaf,LEAVES
pinetrunkleaf,LEAVES
pinewoodleaf,LEAVES
ptreeleaf,LEAVES
plogleaf,LEAVES
ptrunkleaf,LEAVES
pwoodleaf,LEAVES
darktreeleaf,LEAVES
darklogleaf,LEAVES
darktrunkleaf,LEAVES
darkwoodleaf,LEAVES
dtreeleaf,LEAVES
dlogleaf,LEAVES
dtrunkleaf,LEAVES
dwoodleaf,LEAVES
birchleaves,LEAVES
birchleaf,LEAVES
bleaves,LEAVES
bleaf,LEAVES
birchtreeleaves,LEAVES
birchlogleaves,LEAVES
birchtrunkleaves,LEAVES
birchwoodleaves,LEAVES
btreeleaves,LEAVES
blogleaves,LEAVES
btrunkleaves,LEAVES
bwoodleaves,LEAVES
lightleaves,LEAVES
lightleaf,LEAVES
lleaves,LEAVES
lleaf,LEAVES
lighttreeleaves,LEAVES
lightlogleaves,LEAVES
lighttrunkleaves,LEAVES
lightwoodleaves,LEAVES
ltreeleaves,LEAVES
llogleaves,LEAVES
ltrunkleaves,LEAVES
lwoodleaves,LEAVES
whiteleaves,LEAVES
whiteleaf,LEAVES
wleaves,LEAVES
wleaf,LEAVES
whitetreeleaves,LEAVES
whitelogleaves,LEAVES
whitetrunkleaves,LEAVES
whitewoodleaves,LEAVES
wtreeleaves,LEAVES
wlogleaves,LEAVES
wtrunkleaves,LEAVES
wwoodleaves,LEAVES
birchtreeleaf,LEAVES
birchlogleaf,LEAVES
birchtrunkleaf,LEAVES
birchwoodleaf,LEAVES
btreeleaf,LEAVES
blogleaf,LEAVES
btrunkleaf,LEAVES
bwoodleaf,LEAVES
lighttreeleaf,LEAVES
lightlogleaf,LEAVES
lighttrunkleaf,LEAVES
lightwoodleaf,LEAVES
ltreeleaf,LEAVES
llogleaf,LEAVES
ltrunkleaf,LEAVES
lwoodleaf,LEAVES
whitetreeleaf,LEAVES
whitelogleaf,LEAVES
whitetrunkleaf,LEAVES
whitewoodleaf,LEAVES
wtreeleaf,LEAVES
wlogleaf,LEAVES
wtrunkleaf,LEAVES
wwoodleaf,LEAVES
jungleleaves,LEAVES
jungleleaf,LEAVES
jleaves,LEAVES
jleaf,LEAVES
jungletreeleaves,LEAVES
junglelogleaves,LEAVES
jungletrunkleaves,LEAVES
junglewoodleaves,LEAVES
jtreeleaves,LEAVES
jlogleaves,LEAVES
jtrunkleaves,LEAVES
jwoodleaves,LEAVES
forestleaves,LEAVES
forestleaf,LEAVES
fleaves,LEAVES
fleaf,LEAVES
foresttreeleaves,LEAVES
forestlogleaves,LEAVES
foresttrunkleaves,LEAVES
forestwoodleaves,LEAVES
ftreeleaves,LEAVES
flogleaves,LEAVES
ftrunkleaves,LEAVES
fwoodleaves,LEAVES
jungletreeleaf,LEAVES
junglelogleaf,LEAVES
jungletrunkleaf,LEAVES
junglewoodleaf,LEAVES
jtreeleaf,LEAVES
jlogleaf,LEAVES
jtrunkleaf,LEAVES
jwoodleaf,LEAVES
foresttreeleaf,LEAVES
forestlogleaf,LEAVES
foresttrunkleaf,LEAVES
forestwoodleaf,LEAVES
ftreeleaf,LEAVES
flogleaf,LEAVES
ftrunkleaf,LEAVES
fwoodleaf,LEAVES
sponge,SPONGE
glass,GLASS
blockglass,GLASS
glassblock,GLASS
lapislazuliore,LAPIS_ORE
lapislazulio,LAPIS_ORE
orelapislazuli,LAPIS_ORE
olapislazuli,LAPIS_ORE
lapisore,LAPIS_ORE
lapiso,LAPIS_ORE
orelapis,LAPIS_ORE
olapis,LAPIS_ORE
lore,LAPIS_ORE
orel,LAPIS_ORE
lapislazuliblock,LAPIS_BLOCK
blocklapislazuli,LAPIS_BLOCK
lapisblock,LAPIS_BLOCK
blocklapis,LAPIS_BLOCK
lblock,LAPIS_BLOCK
blockl,LAPIS_BLOCK
dispenser,DISPENSER
dispense,DISPENSER
sandstone,SANDSTONE
sastone,SANDSTONE
creepersandstone,SANDSTONE
creepersastone,SANDSTONE
creepsandstone,SANDSTONE
creepsastone,SANDSTONE
csandstone,SANDSTONE
csastone,SANDSTONE
hieroglyphicsandstone,SANDSTONE
hieroglyphicsastone,SANDSTONE
hieroglyphsandstone,SANDSTONE
hieroglyphsastone,SANDSTONE
hsandstone,SANDSTONE
hsastone,SANDSTONE
pyramidsandstone,SANDSTONE
pyramidsastone,SANDSTONE
psandstone,SANDSTONE
psastone,SANDSTONE
chiseledsandstone,SANDSTONE
chiseledsastone,SANDSTONE
chiselsandstone,SANDSTONE
chiselsastone,SANDSTONE
smoothsandstone,SANDSTONE
smoothsastone,SANDSTONE
ssandstone,SANDSTONE
smsastone,SANDSTONE
ssastone,SANDSTONE
noteblock,NOTE_BLOCK
musicblock,NOTE_BLOCK
nblock,NOTE_BLOCK
mblock,NOTE_BLOCK
poweredtrack,POWERED_RAIL
poweredrails,POWERED_RAIL
poweredrail,POWERED_RAIL
boostertrack,POWERED_RAIL
boosterrails,POWERED_RAIL
boosterrail,POWERED_RAIL
powertrack,POWERED_RAIL
powerrails,POWERED_RAIL
powerrail,POWERED_RAIL
boosttrack,POWERED_RAIL
boostrails,POWERED_RAIL
boostrail,POWERED_RAIL
ptrack,POWERED_RAIL
prails,POWERED_RAIL
prail,POWERED_RAIL
btrack,POWERED_RAIL
brails,POWERED_RAIL
brail,POWERED_RAIL
detectortrack,DETECTOR_RAIL
detectorrails,DETECTOR_RAIL
detectorrail,DETECTOR_RAIL
detectingtrack,DETECTOR_RAIL
detectingrails,DETECTOR_RAIL
detectingrail,DETECTOR_RAIL
detecttrack,DETECTOR_RAIL
detectrails,DETECTOR_RAIL
detectrail,DETECTOR_RAIL
dtrack,DETECTOR_RAIL
drails,DETECTOR_RAIL
drail,DETECTOR_RAIL
stickypistonbase,PISTON_STICKY_BASE
stickypiston,PISTON_STICKY_BASE
stickpistonbase,PISTON_STICKY_BASE
stickpiston,PISTON_STICKY_BASE
stickyp,PISTON_STICKY_BASE
spistonbase,PISTON_STICKY_BASE
spiston,PISTON_STICKY_BASE
pistonstickybase,PISTON_STICKY_BASE
pistonsticky,PISTON_STICKY_BASE
pistonstickbase,PISTON_STICKY_BASE
pistonstick,PISTON_STICKY_BASE
pistonsbase,PISTON_STICKY_BASE
pistons,PISTON_STICKY_BASE
psticky,PISTON_STICKY_BASE
pstick,PISTON_STICKY_BASE
spiderweb,WEB
cobweb,WEB
sweb,WEB
