#version: AntiShare
#This file is used for mapping data values to player-friendly names
#name:data,player-friendly
STONE:0,Stone
GRASS:0,Grass
DIRT:0,Dirt
COBBLESTONE:0,Cobblestone
WOOD:0,Wooden Plank
WOOD:1,Spruce Wooden Plank
WOOD:2,Birch Wooden Plank
WOOD:3,Jungle Wooden Plank
WOOD:4,Acacia Wooden Plank
WOOD:5,Dark Oak Wooden Plank
SAPLING:0,Sapling
SAPLING:1,Sapling Spruce
SAPLING:2,Sapling Birch
SAPLING:3,Sapling Jungle
BEDROCK:0,Bedrock
WATER:0,Water
STATIONARY_WATER:0,Stationary Water
LAVA:0,Lava
STATIONARY_LAVA:0,Stationary Lava
SAND:0,Sand
SAND:1,Red Sand
GRAVEL:0,Gravel
GOLD_ORE:0,Gold Ore
IRON_ORE:0,Iron Ore
COAL_ORE:0,Coal Ore
LOG:0,Wood Oak
LOG:1,Wood Spruce
LOG:2,Wood Birch
LOG:3,Wood Jungle
LEAVES:0,Leaves
LEAVES:1,Leaves Spruce
LEAVES:2,Leaves Birch
LEAVES:3,Leaves Jungle
SPONGE:0,Sponge
GLASS:0,Glass
LAPIS_ORE:0,Lapis Lazuli Ore
LAPIS_BLOCK:0,Lapis lazuli Block
DISPENSER:0,Dispenser
SANDSTONE:0,Sandstone
SANDSTONE:1,Chiseled Sandstone
SANDSTONE:2,Smooth Sandstone
NOTE_BLOCK:0,Note Block
BED_BLOCK:0,Bed Block
POWERED_RAIL:0,Powered Rail
DETECTOR_RAIL:0,Detector Rail
PISTON_STICKY_BASE:0,Sticky Piston
WEB:0,Web Block
LONG_GRASS:0,Tall Dead Shrub
LONG_GRASS:1,Tall Grass
LONG_GRASS:2,Live Shrub
DEAD_BUSH:0,Dead Shrub
PISTON_BASE:0,Piston
PISTON_EXTENSION:0,Piston Head
WOOL:0,White Wool
WOOL:1,Orange Wool
WOOL:2,Magenta Wool
WOOL:3,Light Blue Wool
WOOL:4,Yellow Wool
WOOL:5,Lime Wool
WOOL:6,Pink Wool
WOOL:7,Gray Wool
WOOL:8,Light Gray Wool
WOOL:9,Cyan Wool
WOOL:10,Purple Wool
WOOL:11,Blue Wool
WOOL:12,Brown Wool
WOOL:13,Green Wool
WOOL:14,Red Wool
WOOL:15,Black Wool
YELLOW_FLOWER:0,Dandelion
RED_ROSE:0,Rose
RED_ROSE:1,Blue Orchid
RED_ROSE:2,Allium
RED_ROSE:4,Red Tulip
RED_ROSE:5,Orange Tulip
RED_ROSE:6,White Tulip
RED_ROSE:7,Pink Tulip
RED_ROSE:8,Oxeye Daisy
BROWN_MUSHROOM:0,Brown Mushroom
RED_MUSHROOM:0,Red Mushroom
GOLD_BLOCK:0,Gold Block
IRON_BLOCK:0,Iron Block
DOUBLE_STEP:0,Double Stone Slab
DOUBLE_STEP:1,Double Sandstone Slab
DOUBLE_STEP:2,Double Wooden Slab
DOUBLE_STEP:3,Double Cobblestone Slab
DOUBLE_STEP:4,Double Brick Slab
DOUBLE_STEP:5,Double Stone Brick Slab
DOUBLE_STEP:6,Double Nether Brick Slab
DOUBLE_STEP:7,Double Quartz Slab
STEP:0,Stone Slab
STEP:1,Sandstone Slab
STEP:2,Wooden Slab
STEP:3,Cobblestone Slab
STEP:4,Brick Slab
STEP:5,Stone Brick Slab
STEP:6,Nether Brick Slab
STEP:7,Quartz Slab
BRICK:0,Brick
TNT:0,TNT
BOOKSHELF:0,Bookshelf
MOSSY_COBBLESTONE:0,Mossy Stone
OBSIDIAN:0,Obsidian
